"filename", "language", "Python", "C", "Shell Script", "Markdown", "Verilog", "Scala", "YAML", "Properties", "XML", "Makefile", "JSON", "C++", "LinkerScript", "ARM", "comment", "blank", "total"
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/BundleMap.scala", "Scala", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 60, 30, 275
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/CRC.scala", "Scala", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 37
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/ClockDivider.scala", "Scala", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 60
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/ClockGate.scala", "Scala", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 55
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/CompileOptions.scala", "Scala", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 11
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/CoreMonitor.scala", "Scala", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/Counters.scala", "Scala", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 69
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/CreditedIO.scala", "Scala", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 35, 22, 152
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/Crossing.scala", "Scala", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 22
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/DescribedSRAM.scala", "Scala", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 41
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/ECC.scala", "Scala", 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 34, 43, 283
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/ElaborationArtefactAnnotation.scala", "Scala", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 156
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/Frequency.scala", "Scala", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 44
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/GeneratorUtils.scala", "Scala", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 61
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/GenericParameterizedBundle.scala", "Scala", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/HellaQueue.scala", "Scala", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 59
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/HeterogeneousBag.scala", "Scala", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 24
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/IDPool.scala", "Scala", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 56
"/home/stormy/curricular/keyan/code/XiangShan-fv/rocket-chip/src/main/scala/util/IdentityModule.scala", "Scala", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
